NUMBER OF PLAYERS PARTICIPATING,POINTS,CARD TEXT
1,0,Categories: Items found in a teachers desk that can also be used as a sex toy; *; you start! Loser takes 3 penalties. 
2,0,Categories: Farm Animals that smell better than *; *; you start! Loser takes 3 penalties. 
2,0,Categories: Something you would find in *'s room;  *; you start! Loser takes 3 penalties. 
1,0,Categories: Childrens toys that can be sex toys; *; you start! Loser takes 3 penalties. 
2,0,Categories: Animals that are cuter than *; *; you start! Loser takes 3 penalties. 
2,0,Categories: Vegetables that * is likely to use as a sex toy; *; you start! Loser takes 3 penalties. 
1,0,Categories: Things you can say during sex and to your parents; *; you start! Loser takes 3 penalties.
1,0,Categories: Things you can use as lube; *; you start! Loser takes 3 penalties.
1,0,Go around and say the most embarrassing thing that has happened to you; winner gives out 4 penalties; *; you start!
0,0,Would you rather be fucked until you die or have sex with a 60 year old man who never showers every day for the rest of your life? Losing group takes 3 penalties. 
