NUMBER OF PLAYERS PARTICIPATING,POINTS,CARD TEXT
1,2,*; let someone play drums on your butt
1,2,*; take off a piece of clothing!
1,2,*; take off a piece of clothing!
1,2,*; take off a piece of clothing!
1,3,*; kiss male a player anywhere he chooses
1,3,*; kiss a player anywhere they choose
1,3,*; walk around like someone from the opposite sex
1,2,*; let someone squeeze your boobs for 4 seconds
2,4,*; demonstrate your favourite sexual position with another player that isn't your partner
1,4,*; rub your ass against another player
1,2,*; have the player on your left squeeze your tits
1,3,*; pretend the wall is a stripping pole; now rub your ass against it!
1,3,*; get on all fours and let someone spank you
1,2,*; get a nipple twist
0,0,Last person to sensually rub against the player on your right takes 3 penalties
1,4,*; fake a 10 second orgasm
2,3,*; explain how you imagine * having sex
0,0,All players who have never had anal sex drink
1,3,*; let the player opposite you slap your ass
1,3,*; suck someones thumb
1,2,*; let someone give you a wet willie
1,3,*; give a blowjob to a bottle
1,4,*; let someone touch your bare ass
1,3,*; blatently hit on another player
1,3,*; let another player suck on some part of you
1,4,*; let another player give you a hickey
2,3,*; if you have done something more kinky than * you get the points
1,2,*; what's something dirty you have always wanted to say in bed but were too scared?
1,3,*; tell us about the first time you had sex
1,2,*; would you ever have a threesome?
1,4,*; make out with another player
1,4,*; touch another players genitals (with clothes on please)
2,3,*; whisper something sensual in *'s ear
1,4,*; have someone blindfold you and have 2 players kiss you on your cheek. If you guess who they were you get the points!
1,3,*; suck on someones finger like you're sucking their dick
1,3,*; you are in time-out! Sit on anothers players lap for the next round
1,4,*; let someone give you a massage for 20 seconds while blindfolded. If you like the massage; give them a kiss (with the blindfold still on)
1,3,*; keep your hand on the player to your left's thigh for the next round
1,3,*; if you had a threesome with people in this room; who would it be with and why?
1,3,*; who do you most want to sleep with; out of everyone here?
1,4,*; do a three-way kiss with 2 other players.
